run,label,dataset,fold,batch_size,lr,tau,alpha
bda1232a,v1,II,1,16,1e-05,0.2,0.8
114e607e,v1,II,1,16,0.0001,0.2,0.8
011399f3,v1,II,1,16,0.001,0.2,0.8
a3f08872,v1,I,5,16,1e-05,0.2,0.8
fe06016d,v1,I,5,16,0.0001,0.2,0.8
0689c2ec,v1,I,5,16,0.001,0.2,0.8
679c992c,v1,I,4,16,1e-05,0.2,0.8
46b8626d,v1,I,4,16,0.0001,0.2,0.8
5bbe4c1b,v1,I,4,16,0.001,0.2,0.8
c5e565c3,v1,I,3,16,1e-05,0.2,0.8
e51e06bc,v1,I,3,16,0.0001,0.2,0.8
d90a7a20,v1,I,3,16,0.001,0.2,0.8
95deb9d8,v1,I,2,16,1e-05,0.2,0.8
07230217,v1,I,2,16,0.0001,0.2,0.8
da64f76c,v1,I,2,16,0.001,0.2,0.8
a97b6676,v1,I,1,16,1e-05,0.2,0.8
8a17cf7a,v1,I,1,16,0.0001,0.2,0.8
a63cd477,v1,I,1,16,0.001,0.2,0.8
b44b016a,v1,II,5,16,1e-05,0.2,0.8
b8e6e9c5,v1,II,5,16,0.0001,0.2,0.8
5b03606a,v1,II,5,16,0.001,0.2,0.8
e1774dcc,v1,II,4,16,1e-05,0.2,0.8
d8f81a79,v1,II,4,16,0.0001,0.2,0.8
028d9d0c,v1,II,4,16,0.001,0.2,0.8
827f5a4c,v1,II,3,16,1e-05,0.2,0.8
160045f8,v1,II,3,16,0.0001,0.2,0.8
619b3551,v1,II,3,16,0.001,0.2,0.8
2a0969a2,v1,II,2,16,1e-05,0.2,0.8
007a01b0,v1,II,2,16,0.0001,0.2,0.8
ba9c9d18,v1,II,2,16,0.001,0.2,0.8
d58c57fe,v0,II,5,16,0.001,0.2,0.8
1cde0f55,v0,II,4,16,0.001,0.2,0.8
27efc85d,v0,II,3,16,0.001,0.2,0.8
340d1fde,v0,II,2,16,0.001,0.2,0.8
b0447c68,v0,II,1,16,0.001,0.2,0.8
6bb7dfee,v0,I,5,16,0.001,0.2,0.8
04e22df8,v0,I,4,16,0.001,0.2,0.8
02eda2ec,v0,I,3,16,0.001,0.2,0.8
0adf4722,v0,I,2,16,0.001,0.2,0.8
fa3b20e2,v0,I,1,16,0.001,0.2,0.8
0babdd9d,v0,II,5,16,1e-05,0.2,0.8
e0594323,v0,II,4,16,1e-05,0.2,0.8
78ff1ba1,v0,II,3,16,1e-05,0.2,0.8
b0674397,v0,II,2,16,1e-05,0.2,0.8
11c5bed6,v0,II,1,16,1e-05,0.2,0.8
1ff50540,v0,I,5,16,1e-05,0.2,0.8
b2b23c2d,v0,I,4,16,1e-05,0.2,0.8
5100a000,v0,I,3,16,1e-05,0.2,0.8
2e44ccd6,v0,I,2,16,1e-05,0.2,0.8
0ce51154,v0,I,1,16,1e-05,0.2,0.8
b004b876,v0,I,1,16,0.0001,0.2,0.8
